update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,371.15553358659093,55,0.1875,0.3903123748998999,0.0,1.0,584.3125,340.0106098987942,42.0,1280.0,1.9365732669830322,0.06589659722521901,0.002057808786048554,0.0036793010658584535,0.014398781955206082,1.0,0.0,1.0,1.0
11,22528,376.0912625891379,60,0.1875,0.3903123748998999,0.0,1.0,624.25,351.1428662239915,42.0,1280.0,1.9402136206626892,0.060916023794561625,0.011194135760888457,7.82696270107408e-05,0.005179044907238632,1.0,0.0,1.0,1.0
12,24576,371.94367214426813,66,0.25,0.4330127018922193,0.0,1.0,684.625,329.10786130841666,42.0,1280.0,1.9394948780536652,0.07199940923601389,-0.014270745421526954,0.007345649239141494,0.029003016551812866,1.0,0.0,1.0,1.0
13,26624,367.95914945530706,72,0.25,0.4330127018922193,0.0,1.0,825.0625,432.54674151327276,42.0,1612.0,1.9414421766996384,0.07141251629218459,0.0030964387115091085,0.002564350899774581,0.02797160352988255,1.0,0.0,1.0,1.0
14,28672,364.8655265756863,77,0.3125,0.46351240544347894,0.0,1.0,877.9375,381.5814901089281,259.0,1612.0,1.935740813612938,0.06881322246044874,-0.015680936514399946,0.007437222346197814,0.028486917646447292,1.0,0.0,1.0,1.0
15,30720,373.2284858317869,83,0.3125,0.46351240544347894,0.0,1.0,770.875,444.9605143998735,139.0,1612.0,1.9358882904052734,0.07633455377072096,0.0038253402744885534,0.003026431913895067,0.025593073219843963,1.0,0.0,1.0,1.0
16,32768,370.6659144550926,88,0.375,0.4841229182759271,0.0,1.0,828.125,540.6438147015094,139.0,2022.0,1.9228565394878387,0.0991251366212964,-0.00918346268008463,0.005744587077060714,0.04642824350490734,1.0,0.0,1.0,1.0
17,34816,372.02743773051316,94,0.3125,0.46351240544347894,0.0,1.0,899.1875,515.1224634431603,139.0,2022.0,1.9369982481002808,0.06423654360696673,0.012537704315036535,0.0004358238948043436,0.011866370292605302,1.0,0.0,1.0,1.0
18,36864,377.58191587753714,99,0.375,0.4841229182759271,0.0,1.0,845.375,517.4968447971446,139.0,2022.0,1.9387660026550293,0.06521719414740801,0.009248026297427714,0.000484236223201151,0.008719463711345705,1.0,0.0,1.0,1.0
19,38912,371.4881331991007,105,0.4375,0.49607837082461076,0.0,1.0,670.9375,563.1249271642572,54.0,2022.0,1.9311240017414093,0.09061543457210064,-0.03654865315183997,0.014417754369787872,0.051503105072920136,1.0,0.0,1.0,1.0
20,40960,372.5240715482379,110,0.375,0.4841229182759271,0.0,1.0,673.125,704.6495472041404,54.0,2485.0,1.938644900918007,0.06814421247690916,0.004350193485151976,0.0031567297119181603,0.018231234309614347,1.0,0.0,1.0,1.0
21,43008,374.1079196767195,116,0.4375,0.49607837082461076,0.0,1.0,764.1875,728.8266442328725,54.0,2485.0,1.941286861896515,0.05650611640885472,0.010209443513303995,9.605085415387293e-05,0.0046252557918303565,1.0,0.0,1.0,1.0
22,45056,372.11183748318444,121,0.4375,0.49607837082461076,0.0,1.0,696.3125,672.5313857685379,54.0,2485.0,1.9363490641117096,0.06039056275039911,0.001681109206401743,0.0029100027459207922,0.015492925323302405,1.0,0.0,1.0,1.0
23,47104,374.5530550375677,127,0.5,0.5,0.0,1.0,737.625,716.3479317866423,54.0,2485.0,1.9337292164564133,0.06850548926740885,-0.005981928643450374,0.006676859658909962,0.018752053385449302,1.0,0.0,1.0,1.0
24,49152,376.030495210981,132,0.5,0.5,0.0,1.0,817.75,747.2582803154476,54.0,2485.0,1.9378959834575653,0.04632811667397618,0.009435759566258639,0.00011063671263400465,0.005367608959762371,1.0,0.0,1.0,1.0
25,51200,369.28320174670995,138,0.5625,0.49607837082461076,0.0,1.0,850.125,725.1170487410981,74.0,2485.0,1.9408944100141525,0.04295658087357879,0.007606442202813923,2.2611257691096398e-05,0.002365560597211311,1.0,0.0,1.0,1.0
26,53248,369.74991337283274,143,0.4375,0.49607837082461076,0.0,1.0,855.6875,690.3289721891657,93.0,2485.0,1.9354512691497803,0.0544464704580605,-0.011626657476881519,0.007808437803760171,0.02946259018151417,1.0,0.0,1.0,1.0
27,55296,378.4250855361747,149,0.4375,0.49607837082461076,0.0,1.0,1040.75,705.6523134660581,123.0,2485.0,1.9380837976932526,0.06368636712431908,-0.016980688902549446,0.007315315888263285,0.033252677252899904,1.0,0.0,1.0,1.0
28,57344,371.1740090831595,154,0.5,0.5,0.0,1.0,1081.3125,622.8251880293137,306.0,2130.0,1.9318143129348755,0.05184044362977147,-0.009258147154469043,0.0057144104212056845,0.021558315374691186,1.0,0.0,1.0,1.0
29,59392,372.15910646474316,160,0.5625,0.49607837082461076,0.0,1.0,1078.125,605.5523176200385,190.0,2130.0,1.9399205297231674,0.048503545578569174,-0.005384540039813146,0.0056221887352876365,0.02007853807341442,1.0,0.0,1.0,1.0
30,61440,375.2911572472748,165,0.625,0.4841229182759271,0.0,1.0,932.3125,568.5411945002314,190.0,2130.0,1.9400202929973602,0.07040365785360336,-0.004706274950876832,0.003988073207437992,0.024430394864542952,1.0,0.0,1.0,1.0
31,63488,372.75350694724096,171,0.625,0.4841229182759271,0.0,1.0,938.5625,570.8731217124782,142.0,2130.0,1.9311187863349915,0.08512953296303749,-0.005726606585085392,0.0073039663839153945,0.03479275984833542,1.0,0.0,1.0,1.0
32,65536,368.2374159156252,176,0.6875,0.46351240544347894,0.0,1.0,828.1875,596.6323426899936,56.0,2130.0,1.918162688612938,0.1058001285418868,-0.014496852527372539,0.011329157336149365,0.04514733653363936,1.0,0.0,1.0,1.0
33,67584,361.8949211768744,182,0.5625,0.49607837082461076,0.0,1.0,808.5625,618.5156595380184,56.0,2566.0,1.9168802946805954,0.09496333729475737,-0.006740493816323578,0.00762589240912348,0.031718574180045554,1.0,0.0,1.0,1.0
34,69632,364.525894266486,187,0.5,0.5,0.0,1.0,742.4375,595.4752271033195,56.0,2566.0,1.9363529235124588,0.06030655838549137,0.002443667995976284,0.0020690666715381667,0.020306590158053108,1.0,0.0,1.0,1.0
35,71680,353.0530916568562,193,0.5,0.5,0.0,1.0,753.75,600.69392164396,56.0,2566.0,1.9164694100618362,0.0771774547174573,-0.021068841917440295,0.008728994464036077,0.03320988310946703,1.0,0.0,1.0,1.0
36,73728,360.09622951224446,199,0.625,0.4841229182759271,0.0,1.0,753.5625,590.0186404629518,203.0,2566.0,1.9166784286499023,0.10896376054733992,-0.034186224453151226,0.010155558469705284,0.043418396686517424,1.0,0.0,1.0,1.0
37,75776,369.94984329124014,205,0.625,0.4841229182759271,0.0,1.0,753.5625,590.0186404629518,203.0,2566.0,1.939648985862732,0.0708207469433546,0.010873962484765798,0.0003648725978564471,0.00581086012238596,1.0,0.0,1.0,1.0
38,77824,377.8516787585256,210,0.6875,0.46351240544347894,0.0,1.0,728.625,584.907564812595,203.0,2566.0,1.9374955594539642,0.0999197131022811,-0.007442321802955121,0.006816774257458746,0.02302317922402348,1.0,0.0,1.0,1.0
39,79872,376.7451059166186,215,0.875,0.33071891388307384,0.0,1.0,572.3125,400.61978838263843,149.0,1663.0,1.9396962374448776,0.08892783802002668,-0.003499871105304919,0.0029145513544790447,0.020665235931656808,1.0,0.0,1.0,1.0
40,81920,379.58594202701937,221,0.8125,0.3903123748998999,0.0,1.0,637.25,382.68190119209976,149.0,1663.0,1.9392598569393158,0.07751461211591959,0.006114892545156181,0.004657998550101183,0.028747637236366086,1.0,0.0,1.0,1.0
41,83968,376.7327136040315,226,0.75,0.4330127018922193,0.0,1.0,597.875,387.7479650172261,149.0,1663.0,1.9381659477949142,0.09609608631581068,0.0030740781367057934,0.005944556964095682,0.03469908687943936,1.0,0.0,1.0,1.0
42,86016,368.3669995889182,232,0.6875,0.46351240544347894,0.0,1.0,634.375,385.21615279606334,149.0,1663.0,1.9370192289352417,0.10526430699974298,-0.011043446909752674,0.00695360844838433,0.030937426457680307,1.0,0.0,1.0,1.0
43,88064,366.44658908576383,237,0.75,0.4330127018922193,0.0,1.0,714.5625,453.7603950255575,149.0,1788.0,1.9398849457502365,0.11545994970947504,-0.02096677280496806,0.011419703369028866,0.04290844232089483,1.0,0.0,1.0,1.0
44,90112,382.37862110637445,243,0.625,0.4841229182759271,0.0,1.0,779.0625,433.3482244035967,214.0,1788.0,1.9374487847089767,0.11335435137152672,-0.007139289285987616,0.005610086605884135,0.02528424776270132,1.0,0.0,1.0,1.0
45,92160,373.66109411498434,248,0.5625,0.49607837082461076,0.0,1.0,756.6875,437.86937532071136,214.0,1788.0,1.9307191967964172,0.11450400948524475,0.00010097304766532034,0.007328201085329056,0.03839323716578566,1.0,0.0,1.0,1.0
46,94208,377.4065990419775,254,0.4375,0.49607837082461076,0.0,1.0,790.5,452.1999004864994,189.0,1788.0,1.9334438890218735,0.09549669083207846,0.001577013754285872,0.00475999474292621,0.029920948471843963,1.0,0.0,1.0,1.0
47,96256,373.16311196772756,259,0.4375,0.49607837082461076,0.0,1.0,725.875,480.2034562297527,189.0,1788.0,1.9350510984659195,0.09432652313262224,0.014185260981321335,0.00047043706217664294,0.012029975871709873,1.0,0.0,1.0,1.0
48,98304,372.56250930871215,265,0.375,0.4841229182759271,0.0,1.0,554.0625,328.90376038250156,189.0,1225.0,1.9330433905124664,0.10884089674800634,-0.013468912220560014,0.005994117440422997,0.03777882275678868,1.0,0.0,1.0,1.0
49,100352,365.72262218560144,270,0.3125,0.46351240544347894,0.0,1.0,566.1875,342.7368193581629,189.0,1225.0,1.9318366050720215,0.08038341253995895,-0.0007278586272150278,0.0031934688886394724,0.022883528030973797,1.0,0.0,1.0,1.0
50,102400,376.085812315201,276,0.4375,0.49607837082461076,0.0,1.0,534.3125,308.422947984987,189.0,1207.0,1.922201007604599,0.07747116219252348,-0.0027440897320047952,0.003169182236888446,0.020213430497553246,1.0,0.0,1.0,1.0
51,104448,368.40232482078744,281,0.4375,0.49607837082461076,0.0,1.0,515.0625,312.53849137946196,189.0,1207.0,1.9302963465452194,0.055107031017541885,0.010881958180107176,0.00013502245383278932,0.006777686116613007,1.0,0.0,1.0,1.0
52,106496,373.71118005315526,287,0.5,0.5,0.0,1.0,527.125,310.5019877150547,189.0,1207.0,1.9313274174928665,0.09926704037934542,-0.0056074060121318325,0.005269668065011501,0.035342823613047185,1.0,0.0,1.0,1.0
53,108544,367.9161401799436,292,0.5,0.5,0.0,1.0,674.75,370.2825779050373,201.0,1411.0,1.9251246452331543,0.11956257373094559,-0.01996423478703946,0.011284078762400895,0.05781080138517246,1.0,0.0,1.0,1.0
54,110592,368.26968487193204,298,0.5,0.5,0.0,1.0,657.5625,378.79644414084726,188.0,1411.0,1.930191233754158,0.13295017927885056,0.010790380329126492,0.004610917647369206,0.025597041053544933,1.0,0.0,1.0,1.0
55,112640,368.3818018690351,304,0.5,0.5,0.0,1.0,829.6875,619.1164792216001,168.0,2066.0,1.9262715727090836,0.17577101662755013,-0.028060626471415162,0.010625543305650353,0.05139130256457787,1.0,0.0,1.0,1.0
56,114688,364.75242620596714,309,0.6875,0.46351240544347894,0.0,1.0,821.25,594.3889193953737,168.0,2066.0,1.9101326614618301,0.16475478559732437,-0.013628580956719816,0.009521220868919045,0.04400842655770937,1.0,0.0,1.0,1.0
57,116736,373.64685596830583,315,0.6875,0.46351240544347894,0.0,1.0,707.25,603.5198319028133,168.0,2066.0,1.934634491801262,0.12248544115573168,0.024919327348470688,0.0008258478119387291,0.015390666881740712,1.0,0.0,1.0,1.0
58,118784,370.5722732952931,320,0.6875,0.46351240544347894,0.0,1.0,732.0,589.679362026517,168.0,2066.0,1.9357970207929611,0.10909985471516848,0.012642108224099502,0.002297360471857246,0.017336677019246162,1.0,0.0,1.0,1.0
59,120832,367.7207000034204,326,0.4375,0.49607837082461076,0.0,1.0,648.375,469.9857544383659,199.0,1890.0,1.9381692558526993,0.09597020037472248,0.009478237217990682,0.002051686416962184,0.01799101442003167,1.0,0.0,1.0,1.0
60,122880,368.83834924388424,331,0.4375,0.49607837082461076,0.0,1.0,599.0625,404.3056499651594,199.0,1890.0,1.9321362227201462,0.0919351251795888,-0.00026061476819450036,0.0033129133662441745,0.02625668052356508,1.0,0.0,1.0,1.0
61,124928,372.22866141784147,337,0.375,0.4841229182759271,0.0,1.0,577.8125,460.800420294676,50.0,1890.0,1.9215288758277893,0.11469401139765978,-0.004510619124630466,0.005238870478933677,0.03828717884021262,1.0,0.0,1.0,1.0
62,126976,361.185590510981,342,0.5,0.5,0.0,1.0,612.8125,481.3357999814163,50.0,1890.0,1.8957072347402573,0.213332736864686,-0.029901558998972178,0.01824268896598369,0.07018932141913,1.0,0.0,1.0,1.0
63,129024,364.3277028369638,348,0.5625,0.49607837082461076,0.0,1.0,495.125,366.1280300318455,50.0,1340.0,1.9054885804653168,0.1536991037428379,-0.015243598667439073,0.007212062133476138,0.042292643209690964,1.0,0.0,1.0,1.0
64,131072,368.4542664776769,354,0.625,0.4841229182759271,0.0,1.0,346.625,312.0568608042451,13.0,1009.0,1.916390672326088,0.14986556582152843,-0.005108848097734153,0.007350014115218073,0.040091680206332456,1.0,0.0,1.0,1.0
65,133120,369.0464425499439,359,0.75,0.4330127018922193,0.0,1.0,315.4375,294.25795842041384,13.0,1009.0,1.9100969433784485,0.14691450633108616,0.004831793630728498,0.00502613399294205,0.0399326871934498,1.0,0.0,1.0,1.0
66,135168,374.18596365054077,365,0.75,0.4330127018922193,0.0,1.0,327.9375,288.7266156656674,13.0,1009.0,1.901606947183609,0.17520805448293686,0.006272336468100548,0.006720832549035549,0.03313327506203788,1.0,0.0,1.0,1.0
67,137216,371.28727584062415,370,0.5625,0.49607837082461076,0.0,1.0,268.875,234.55646308511731,13.0,783.0,1.8999501317739487,0.20238829217851162,0.009818773687584326,0.007351910404395312,0.039082177202114314,1.0,0.0,1.0,1.0
68,139264,366.93557220129617,376,0.5625,0.49607837082461076,0.0,1.0,352.1875,306.46252192356246,56.0,1187.0,1.903156191110611,0.17825269512832165,0.013513325684471056,0.00833801634144038,0.046631246055604335,1.0,0.0,1.0,1.0
