update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,227.96987674936366,8,0.0625,0.24206145913796356,0.0,1.0,22.0625,27.019596476446498,0.0,95.0,1.9381668865680695,0.07566450722515583,-0.022355840308591723,0.010739402612671256,0.044016015999226166,0.5625,0.49607837082461076,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,215.30870570660144,18,0.25,0.4330127018922193,0.0,1.0,86.125,69.67861490443104,12.0,223.0,1.9325198978185654,0.09198438562452793,0.007628866529557854,0.0026908529980573803,0.030072506758834508,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,210.64453530211046,28,0.4375,0.49607837082461076,0.0,1.0,154.5,100.77760167815069,12.0,371.0,1.927412986755371,0.08502466976642609,0.001008494360576151,0.005557831900659949,0.027256242505846996,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,211.61361070677438,37,0.625,0.4841229182759271,0.0,1.0,181.625,153.84240109605673,9.0,447.0,1.928207814693451,0.13949305564165115,-0.03958823601715267,0.017067565582692623,0.08078597092519091,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,215.1013245634762,47,0.625,0.4841229182759271,0.0,1.0,158.25,150.9049783804365,9.0,447.0,1.9136172086000443,0.20047679170966148,-0.010570868966169655,0.010373554425314069,0.07337700889846141,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,209.17209303548788,57,0.5263157894736842,0.4993069989739547,0.0,1.0,166.21052631578948,200.49270335781048,6.0,686.0,1.8934985995292664,0.2807825617492199,-0.05768371885642409,0.02934392262250185,0.07506241089083754,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,202.03417724600388,67,0.9375,0.24206145913796356,0.0,1.0,160.5625,125.95632613628423,26.0,521.0,1.8704742193222046,0.3527996093034744,-0.03761931508779526,0.022368869045749307,0.12282583933591662,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,200.85894373346306,77,0.8125,0.3903123748998999,0.0,1.0,232.75,242.16691041511018,19.0,932.0,1.8789117485284805,0.3488224446773529,-0.023044223780743778,0.018858035560697317,0.06352001665785666,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,204.2679337494359,87,0.7222222222222222,0.4479032082388083,0.0,1.0,86.5,57.84389913090806,2.0,242.0,1.852383553981781,0.38514524698257446,-0.03976966440677643,0.024723335402086377,0.11202572522746915,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,202.81271484381273,97,0.5,0.5,0.0,1.0,66.9090909090909,65.44943161841479,8.0,214.0,1.8718149065971375,0.3980385400354862,0.0034440453600836918,0.02516734297387302,0.10295746535578487,1.0,0.0,1.0,1.0
11,22528,200.80555179448126,108,0.7777777777777778,0.41573970964154905,0.0,1.0,147.55555555555554,151.76708112624505,7.0,530.0,1.8410086780786514,0.38119925558567047,-0.018065725569613278,0.023682408034801483,0.12278017544844133,1.0,0.0,1.0,1.0
12,24576,201.1312370007119,118,0.6666666666666666,0.4714045207910317,0.0,1.0,106.54166666666667,114.67525858072244,2.0,454.0,1.853712573647499,0.42128924280405045,1.1478608939796686e-05,0.016869251965545118,0.08071917480886967,1.0,0.0,1.0,1.0
13,26624,201.30853871315713,128,0.625,0.4841229182759271,0.0,1.0,81.75,77.47136567790709,7.0,303.0,1.8593851923942566,0.410812433809042,-0.003339818533277139,0.02046217245515436,0.10099599920266034,1.0,0.0,1.0,1.0
14,28672,202.58762717423107,138,0.56,0.4963869458396342,0.0,1.0,97.84,99.31109907759556,7.0,434.0,1.8581931293010712,0.44566042721271515,-0.024672582803759724,0.026152850361540914,0.11378062226415314,1.0,0.0,1.0,1.0
